GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                                  
00601	166659745	799293	64.348	0.309	18.180555	-66.749961                                                                                                                                                
00602	79307535	4428428	30.621	1.71	18.361945	-67.175597                                                                                                                                                 
00603	81884707	183895	31.616	0.071	18.455183	-67.119887                                                                                                                                                 
00606	109579998	12487	42.309	0.005	18.158345	-66.932911                                                                                                                                                 
00610	93013427	4172060	35.913	1.611	18.295366	-67.125135                                                                                                                                                
00612	175065129	9790062	67.593	3.78	18.402253	-66.711397                                                                                                                                                
00616	29862710	149156	11.53	0.058	18.420412	-66.671979                                                                                                                                                  
00617	39355368	3980436	15.195	1.537	18.445147	-66.559696                                                                                                                                                
00622	75090747	1694880	28.993	0.654	17.991245	-67.153993                                                                                                                                                
00623	98351688	1633538	37.974	0.631	18.083361	-67.153897                                                                                                                                                
00624	111794959	2525012	43.164	0.975	18.064919	-66.716683                                                                                                                                               
00627	120058280	3507026	46.355	1.354	18.4126	-66.863926                                                                                                                                                 
00631	10414671	669972	4.021	0.259	18.190607	-66.832041                                                                                                                                                  
00637	89222632	25323	34.449	0.01	18.076713	-66.947389                                                                                                                                                   
00638	171055430	493328	66.045	0.19	18.295913	-66.515588                                                                                                                                                 
